,Label,Checkpoint,OriginalLoss,AblatedLoss,AblationIncrease
0,L3N669,0,11.037866859436035,11.0377366065979,-0.00013025283813483668
1,L5N395,0,11.037866859436035,11.037865562438965,-1.2969970697440658e-06
2,L5N1655,0,11.037866859436035,11.037913360595702,4.650115966775559e-05
3,L4N1276,0,11.037866859436035,11.037914714813233,4.7855377198757765e-05
4,L5N444,0,11.037866859436035,11.037875804901123,8.945465088672222e-06
5,L5N1599,0,11.037866859436035,11.037876377105713,9.5176696781607e-06
6,L4N45,0,11.037866859436035,11.037868804931641,1.9454956063924556e-06
7,L5N1712,0,11.037866859436035,11.037990913391113,0.00012405395507819605
8,L5N1336,0,11.037866859436035,11.037846355438232,-2.0503997802734375e-05
9,L5N389,0,11.037866859436035,11.037872924804688,6.065368653551673e-06
10,L5N1225,0,11.037866859436035,11.0378812789917,1.441955566505726e-05
11,L5N592,0,11.037866859436035,11.037828483581542,-3.837585449240066e-05
12,L3N1542,0,11.037866859436035,11.037936763763428,6.990432739328867e-05
13,L5N1272,0,11.037866859436035,11.037864017486573,-2.841949461540594e-06
14,L5N1638,0,11.037866859436035,11.037806663513184,-6.01959228507809e-05
15,L5N1331,0,11.037866859436035,11.037880535125732,1.3675689697123516e-05
16,L5N725,0,11.037866859436035,11.037900047302246,3.318786621164804e-05
17,L4N1271,0,11.037866859436035,11.037929515838623,6.265640258895644e-05
18,L4N482,0,11.037866859436035,11.0379607963562,9.393692016601562e-05
19,L4N1601,0,11.037866859436035,11.037823238372802,-4.362106323263504e-05
20,L4N768,0,11.037866859436035,11.037885265350342,1.8405914307351168e-05
21,L5N432,0,11.037866859436035,11.037860927581788,-5.931854246910007e-06
22,L3N60,0,11.037866859436035,11.037901973724365,3.511428833036234e-05
23,L5N1212,0,11.037866859436035,11.03794219970703,7.534027099609375e-05
24,L5N1453,0,11.037866859436035,11.037933368682861,6.650924682638504e-05
25,L5N1693,0,11.037866859436035,11.037858238220215,-8.621215819459849e-06
26,L4N2014,0,11.037866859436035,11.037771415710449,-9.544372558600855e-05
27,L5N785,0,11.037866859436035,11.037927093505859,6.023406982436086e-05
28,L5N1787,0,11.037866859436035,11.037955493927003,8.863449096807585e-05
29,L5N1086,0,11.037866859436035,11.037878379821777,1.1520385742258554e-05
30,L3N669,1,11.037866859436035,11.0377366065979,-0.00013025283813483668
31,L5N395,1,11.037866859436035,11.037865562438965,-1.2969970697440658e-06
32,L5N1655,1,11.037866859436035,11.037913360595702,4.650115966775559e-05
33,L4N1276,1,11.037866859436035,11.037914714813233,4.7855377198757765e-05
34,L5N444,1,11.037866859436035,11.037875804901123,8.945465088672222e-06
35,L5N1599,1,11.037866859436035,11.037876377105713,9.5176696781607e-06
36,L4N45,1,11.037866859436035,11.037868804931641,1.9454956063924556e-06
37,L5N1712,1,11.037866859436035,11.037990913391113,0.00012405395507819605
38,L5N1336,1,11.037866859436035,11.037846355438232,-2.0503997802734375e-05
39,L5N389,1,11.037866859436035,11.037872924804688,6.065368653551673e-06
40,L5N1225,1,11.037866859436035,11.0378812789917,1.441955566505726e-05
41,L5N592,1,11.037866859436035,11.037828483581542,-3.837585449240066e-05
42,L3N1542,1,11.037866859436035,11.037936763763428,6.990432739328867e-05
43,L5N1272,1,11.037866859436035,11.037864017486573,-2.841949461540594e-06
44,L5N1638,1,11.037866859436035,11.037806663513184,-6.01959228507809e-05
45,L5N1331,1,11.037866859436035,11.037880535125732,1.3675689697123516e-05
46,L5N725,1,11.037866859436035,11.037900047302246,3.318786621164804e-05
47,L4N1271,1,11.037866859436035,11.037929515838623,6.265640258895644e-05
48,L4N482,1,11.037866859436035,11.0379607963562,9.393692016601562e-05
49,L4N1601,1,11.037866859436035,11.037823238372802,-4.362106323263504e-05
50,L4N768,1,11.037866859436035,11.037885265350342,1.8405914307351168e-05
51,L5N432,1,11.037866859436035,11.037860927581788,-5.931854246910007e-06
52,L3N60,1,11.037866859436035,11.037901973724365,3.511428833036234e-05
53,L5N1212,1,11.037866859436035,11.03794219970703,7.534027099609375e-05
54,L5N1453,1,11.037866859436035,11.037933368682861,6.650924682638504e-05
55,L5N1693,1,11.037866859436035,11.037858238220215,-8.621215819459849e-06
56,L4N2014,1,11.037866859436035,11.037771415710449,-9.544372558600855e-05
57,L5N785,1,11.037866859436035,11.037927093505859,6.023406982436086e-05
58,L5N1787,1,11.037866859436035,11.037955493927003,8.863449096807585e-05
59,L5N1086,1,11.037866859436035,11.037878379821777,1.1520385742258554e-05
60,L3N669,2,11.037672309875488,11.037542228698731,-0.00013008117675639141
61,L5N395,2,11.037672309875488,11.037671394348145,-9.155273428262944e-07
62,L5N1655,2,11.037672309875488,11.037719097137451,4.6787261963388005e-05
63,L4N1276,2,11.037672309875488,11.037720146179199,4.783630371107961e-05
64,L5N444,2,11.037672309875488,11.037681350708008,9.040832519957576e-06
65,L5N1599,2,11.037672309875488,11.037681884765625,9.574890137642456e-06
66,L4N45,2,11.037672309875488,11.03767433166504,2.02178955177601e-06
67,L5N1712,2,11.037672309875488,11.037796421051025,0.0001241111755376778
68,L5N1336,2,11.037672309875488,11.037651920318604,-2.0389556883770865e-05
69,L5N389,2,11.037672309875488,11.037678680419923,6.37054443508589e-06
70,L5N1225,2,11.037672309875488,11.037686862945556,1.4553070068146212e-05
71,L5N592,2,11.037672309875488,11.03763391494751,-3.839492797830246e-05
72,L3N1542,2,11.037672309875488,11.037742347717286,7.003784179815398e-05
73,L5N1272,2,11.037672309875488,11.037669582366943,-2.727508544353441e-06
74,L5N1638,2,11.037672309875488,11.037612228393554,-6.008148193359375e-05
75,L5N1331,2,11.037672309875488,11.037685966491699,1.3656616211221717e-05
76,L5N725,2,11.037672309875488,11.037705516815185,3.320693969754984e-05
77,L4N1271,2,11.037672309875488,11.037735233306885,6.29234313969107e-05
78,L4N482,2,11.037672309875488,11.037766361236573,9.405136108497913e-05
79,L4N1601,2,11.037672309875488,11.037628746032714,-4.356384277315328e-05
80,L4N768,2,11.037672309875488,11.037690963745117,1.865386962940363e-05
81,L5N432,2,11.037672309875488,11.037666473388672,-5.836486815624653e-06
82,L3N60,2,11.037672309875488,11.037707405090332,3.509521484446054e-05
83,L5N1212,2,11.037672309875488,11.037747898101806,7.558822631814621e-05
84,L5N1453,2,11.037672309875488,11.037738914489745,6.660461425767039e-05
85,L5N1693,2,11.037672309875488,11.0376637840271,-8.525848388174495e-06
86,L4N2014,2,11.037672309875488,11.037576789855956,-9.552001953139211e-05
87,L5N785,2,11.037672309875488,11.037732639312743,6.032943725564621e-05
88,L5N1787,2,11.037672309875488,11.037761077880859,8.87680053711648e-05
89,L5N1086,2,11.037672309875488,11.037684001922607,1.1692047118927462e-05
90,L3N669,3,11.034055156707764,11.033925247192382,-0.00012990951538149886
91,L5N395,3,11.034055156707764,11.034054107666016,-1.0490417476916036e-06
92,L5N1655,3,11.034055156707764,11.034101848602296,4.669189453210265e-05
93,L4N1276,3,11.034055156707764,11.034102478027343,4.732131957929653e-05
94,L5N444,3,11.034055156707764,11.034063873291016,8.71658325252156e-06
