,Label,Checkpoint,OriginalLoss,AblatedLoss,AblationIncrease
150,L3N1957,0,11.037866859436035,11.037823219299316,-4.364013671853684e-05
151,L4N1391,0,11.037866859436035,11.037732372283935,-0.00013448715209918305
152,L5N1625,0,11.037866859436035,11.037948455810547,8.159637451221613e-05
153,L3N687,0,11.037866859436035,11.037924098968507,5.7239532472053156e-05
154,L4N217,0,11.037866859436035,11.037765254974365,-0.00010160446166906922
155,L4N360,0,11.037866859436035,11.038238639831542,0.0003717803955076704
156,L3N1327,0,11.037866859436035,11.038147449493408,0.00028059005737368636
157,L3N1317,0,11.037866859436035,11.037887954711914,2.109527587990101e-05
158,L5N1687,0,11.037866859436035,11.03786720275879,3.4332275511417265e-07
159,L5N1839,0,11.037866859436035,11.03774709701538,-0.00011976242065436793
160,L5N1406,0,11.037866859436035,11.037920322418213,5.3462982178231755e-05
161,L4N1664,0,11.037866859436035,11.037964954376221,9.80949401867548e-05
162,L4N1570,0,11.037866859436035,11.037938861846923,7.200241088867188e-05
163,L5N1298,0,11.037866859436035,11.037848472595215,-1.838684081967301e-05
164,L5N2038,0,11.037866859436035,11.037907848358154,4.098892211956695e-05
165,L4N1183,0,11.037866859436035,11.03789031982422,2.3460388185014835e-05
166,L5N1208,0,11.037866859436035,11.037835903167725,-3.095626830962317e-05
167,L3N1046,0,11.037866859436035,11.037679939270019,-0.000186920166015625
168,L4N1213,0,11.037866859436035,11.03781114578247,-5.571365356438207e-05
169,L4N1975,0,11.037866859436035,11.037973346710205,0.00010648727417006398
170,L4N1834,0,11.037866859436035,11.037804679870606,-6.217956542897696e-05
171,L4N1654,0,11.037866859436035,11.03786418914795,-2.670288084871686e-06
172,L3N490,0,11.037866859436035,11.038046321868897,0.00017946243286282026
173,L5N11,0,11.037866859436035,11.037927799224853,6.0939788818714646e-05
174,L4N644,0,11.037866859436035,11.037822208404542,-4.4651031492648485e-05
175,L5N170,0,11.037866859436035,11.037865619659424,-1.239776610262311e-06
176,L5N32,0,11.037866859436035,11.037850894927978,-1.5964508056853788e-05
177,L3N1998,0,11.037866859436035,11.038291530609131,0.00042467117309641367
178,L4N1373,0,11.037866859436035,11.037845630645752,-2.1228790282989962e-05
179,L5N38,0,11.037866859436035,11.037857284545899,-9.574890135866099e-06
180,L4N1372,0,11.037866859436035,11.037809944152832,-5.691528320284078e-05
181,L4N1682,0,11.037866859436035,11.03790891647339,4.205703735493671e-05
182,L4N1534,0,11.037866859436035,11.037762451171876,-0.00010440826415880622
183,L4N1400,0,11.037866859436035,11.037906455993653,3.959655761853753e-05
184,L4N326,0,11.037866859436035,11.037826480865478,-4.0378570556498516e-05
185,L5N1762,0,11.037866859436035,11.03771125793457,-0.00015560150146498586
186,L5N1153,0,11.037866859436035,11.037833843231201,-3.301620483320278e-05
187,L5N1501,0,11.037866859436035,11.037888832092285,2.1972656250923706e-05
188,L5N1170,0,11.037866859436035,11.037882137298585,1.5277862550178156e-05
189,L3N1249,0,11.037866859436035,11.037746181488037,-0.00012067794799719422
190,L5N362,0,11.037866859436035,11.03781047821045,-5.63812255851559e-05
191,L5N1217,0,11.037866859436035,11.037912330627442,4.547119140774214e-05
192,L4N1331,0,11.037866859436035,11.037839107513427,-2.7751922607066604e-05
193,L5N1131,0,11.037866859436035,11.037839984893798,-2.6874542236043908e-05
194,L4N196,0,11.037866859436035,11.03801570892334,0.00014884948730475855
195,L3N234,0,11.037866859436035,11.037889099121093,2.2239685058877967e-05
196,L5N1020,0,11.037866859436035,11.03803846359253,0.0001716041564954196
197,L5N39,0,11.037866859436035,11.037923564910889,5.6705474854368276e-05
198,L5N1023,0,11.037866859436035,11.03789810180664,3.124237060525559e-05
199,L5N858,0,11.037866859436035,11.037865505218505,-1.3542175292258207e-06
200,L3N1861,0,11.037866859436035,11.037872829437255,5.970001220489962e-06
201,L4N1691,0,11.037866859436035,11.037888889312745,2.202987671040546e-05
202,L4N972,0,11.037866859436035,11.038015842437744,0.00014898300170962386
203,L5N1397,0,11.037866859436035,11.037827053070068,-3.980636596701004e-05
204,L3N396,0,11.037866859436035,11.037322387695312,-0.0005444717407225852
205,L4N1126,0,11.037866859436035,11.037943878173827,7.701873779275559e-05
206,L3N752,0,11.037866859436035,11.03791997909546,5.311965942489394e-05
207,L5N1644,0,11.037866859436035,11.037966117858886,9.925842285163355e-05
208,L3N835,0,11.037866859436035,11.03826042175293,0.0003935623168960234
209,L5N1749,0,11.037866859436035,11.037939929962159,7.307052612404163e-05
210,L4N988,0,11.037866859436035,11.037863521575927,-3.337860107421875e-06
211,L4N835,0,11.037866859436035,11.037865028381347,-1.8310546874289457e-06
212,L5N1121,0,11.037866859436035,11.0373468208313,-0.0005200386047352623
213,L3N1455,0,11.037866859436035,11.03786808013916,1.2207031261368684e-06
214,L4N956,0,11.037866859436035,11.037929992675782,6.313323974715956e-05
215,L3N1355,0,11.037866859436035,11.03765110015869,-0.00021575927734396316
216,L5N138,0,11.037866859436035,11.037821311950683,-4.554748535134934e-05
217,L5N1123,0,11.037866859436035,11.037843284606934,-2.357482910042563e-05
218,L5N536,0,11.037866859436035,11.037898292541504,3.143310546960265e-05
219,L5N1697,0,11.037866859436035,11.03785041809082,-1.6441345215056913e-05
220,L4N712,0,11.037866859436035,11.037767333984375,-9.952545165958782e-05
221,L5N1253,0,11.037866859436035,11.037926635742188,5.977630615383589e-05
222,L5N80,0,11.037866859436035,11.037835655212403,-3.120422363167563e-05
223,L4N1270,0,11.037866859436035,11.037767848968507,-9.901046752780474e-05
224,L5N650,0,11.037866859436035,11.037981472015382,0.00011461257934719526
225,L5N842,0,11.037866859436035,11.037847633361816,-1.922607421889211e-05
226,L5N453,0,11.037866859436035,11.03806499481201,0.00019813537597634934
227,L3N489,0,11.037866859436035,11.037838077545166,-2.8781890868856408e-05
228,L3N993,0,11.037866859436035,11.037798957824707,-6.790161132741446e-05
229,L3N669,10,5.92763952255249,5.928665866851807,0.0010263442993165839
230,L5N395,10,5.92763952255249,5.927879829406738,0.00024030685424758502
231,L5N1655,10,5.92763952255249,5.929369640350342,0.0017301177978517046
232,L4N1276,10,5.92763952255249,5.930681476593017,0.003041954040527095
233,L5N444,10,5.92763952255249,5.927360773086548,-0.00027874946594241834
234,L5N1599,10,5.92763952255249,5.929949312210083,0.0023097896575929866
