Checkpoint,Trigram,Original Loss,Ablated Loss,Direct Effect Loss,Indirect Effect Loss
0, Abgeord,10.80804443359375,10.80855655670166,10.808127403259277,10.808475494384766
0, Anregung,10.325895309448242,10.335684776306152,10.329459190368652,10.332123756408691
0, Ansehen,10.022675514221191,10.022068977355957,10.02249526977539,10.022249221801758
0, Ausdruck,10.83022689819336,10.834296226501465,10.833613395690918,10.830910682678223
0, China forder,12.660837173461914,12.662713050842285,12.662304878234863,12.661247253417969
0, Der Begr,11.931154251098633,11.95484447479248,11.93993091583252,11.946046829223633
0, Eignung,9.955873489379883,9.964011192321777,9.957371711730957,9.962512016296387
0, Einigung,10.151235580444336,10.154080390930176,10.152039527893066,10.153277397155762
0, Ersch,10.832082748413086,10.834020614624023,10.834345817565918,10.831758499145508
0, Fernsehen,10.032952308654785,10.032735824584961,10.032923698425293,10.032764434814453
0, Franco forder,12.662812232971191,12.664783477783203,12.664372444152832,12.663223266601562
0, Gesagte,10.172525405883789,10.178144454956055,10.173775672912598,10.176895141601562
0, Im Vertrag,11.520426750183105,11.519736289978027,11.519733428955078,11.520429611206055
0, Kenntnisse,9.998222351074219,9.997015953063965,9.995478630065918,9.999759674072266
0, Kluft,11.389945983886719,11.388986587524414,11.387635231018066,11.391297340393066
0, Kontroll,10.830228805541992,10.830703735351562,10.830545425415039,10.830389022827148
0, Laufbahn,11.21756362915039,11.213560104370117,11.216741561889648,11.21438217163086
0, Leitung,10.75503158569336,10.75770092010498,10.75627326965332,10.756460189819336
0, Nach Ansicht,10.690265655517578,10.681941032409668,10.693389892578125,10.678815841674805
0, Nachdruck,10.85799503326416,10.861921310424805,10.861223220825195,10.858692169189453
0, Parlament bringt,11.196267127990723,11.197335243225098,11.19655990600586,11.197040557861328
0, Schwerpunk,11.975211143493652,11.975133895874023,11.975439071655273,11.974905967712402
0, Selbstver,10.932482719421387,10.932356834411621,10.932260513305664,10.932579040527344
0, Sie heute,11.410149574279785,11.410088539123535,11.410113334655762,11.410126686096191
0, Tatsache,11.763473510742188,11.764467239379883,11.764622688293457,11.763319969177246
0, Union ihr,11.38390827178955,11.386032104492188,11.385598182678223,11.384343147277832
0, Unter solchen,11.400238990783691,11.391968727111816,11.39706039428711,11.395146369934082
0, Verabsch,9.946940422058105,9.946502685546875,9.946539878845215,9.946904182434082
0, Verfass,11.746564865112305,11.746844291687012,11.747363090515137,11.746047019958496
0, Verurte,10.338385581970215,10.34582233428955,10.341395378112793,10.342813491821289
0, Vorbeding,11.243227005004883,11.2438325881958,11.243988037109375,11.243072509765625
0, Vorbehal,10.976973533630371,10.973402976989746,10.977822303771973,10.972555160522461
0, Welt ihr,11.363449096679688,11.365768432617188,11.365213394165039,11.364005088806152
0, Wir Abge,10.637042999267578,10.637308120727539,10.63709545135498,10.637255668640137
0, Würde,11.170414924621582,11.172569274902344,11.174025535583496,11.168959617614746
0, Würden,10.733561515808105,10.731733322143555,10.729074478149414,10.736220359802246
0, Zeitdruck,10.812161445617676,10.816232681274414,10.815549850463867,10.81284236907959
0, alle Opfer,11.54797077178955,11.548184394836426,11.548245429992676,11.547910690307617
0, als Ministerpr,11.781134605407715,11.78352165222168,11.781851768493652,11.782803535461426
0, ansehen,9.956000328063965,9.955633163452148,9.955941200256348,9.955693244934082
0, anzuw,10.816635131835938,10.822494506835938,10.820517539978027,10.818610191345215
0, aussch,10.239664077758789,10.240363121032715,10.240493774414062,10.239533424377441
0, bedingt,11.464111328125,11.464118003845215,11.46389102935791,11.464337348937988
0, begeister,11.12437915802002,11.123615264892578,11.123465538024902,11.124528884887695
0, benimmt,10.878571510314941,10.873051643371582,10.878500938415527,10.873123168945312
0, bezahlte,10.258607864379883,10.260327339172363,10.259238243103027,10.259696006774902
0, bisschen,11.209367752075195,11.20373249053955,11.208422660827637,11.204678535461426
0, dass statt,10.742521286010742,10.74067211151123,10.741415977478027,10.741778373718262
0, daß heute,11.505284309387207,11.505437850952148,11.505472183227539,11.505250930786133
0, den Forder,11.558427810668945,11.55526351928711,11.555961608886719,11.557726860046387
0, den Heraus,11.323408126831055,11.325241088867188,11.32278823852539,11.325859069824219
0, den Ministerrat,10.911517143249512,10.912568092346191,10.912041664123535,10.912044525146484
0, den Opfer,11.48138427734375,11.481316566467285,11.481325149536133,11.481376647949219
0, der Ansicht,10.814504623413086,10.80623722076416,10.817508697509766,10.803235054016113
0, der Auff,10.367236137390137,10.367095947265625,10.367365837097168,10.366966247558594
0, der Opfer,11.445832252502441,11.445785522460938,11.445789337158203,11.44582748413086
0, der Vertrag,11.635421752929688,11.635188102722168,11.6351900100708,11.635419845581055
0, des Opfers,10.54720687866211,10.546836853027344,10.546770095825195,10.54727554321289
0, die Ansicht,10.812339782714844,10.804211616516113,10.815475463867188,10.801074981689453
0, die Auff,10.48238754272461,10.482331275939941,10.482888221740723,10.481830596923828
0, die Empfe,11.83547306060791,11.837717056274414,11.836892127990723,11.836298942565918
0, die frucht,11.666410446166992,11.662270545959473,11.667582511901855,11.66109561920166
0, die statt,10.78467845916748,10.782721519470215,10.783658981323242,10.78373908996582
0, diese Empfe,11.832376480102539,11.835206985473633,11.834339141845703,11.83324146270752
0, diese frucht,11.557831764221191,11.553765296936035,11.559157371520996,11.552438735961914
0, dieser Forder,11.584723472595215,11.579951286315918,11.580937385559082,11.58373737335205
0, durchdring,10.917814254760742,10.913419723510742,10.919943809509277,10.911291122436523
0, ein Missbra,11.54198169708252,11.542834281921387,11.541278839111328,11.543536186218262
