Checkpoint,Original Loss,Total Effect,Direct Effect,Indirect Effect
0,11.028282204327605,-9.212910086198178e-05,-2.699421362173382e-05,-6.50169003719725e-05
5,10.821032515811376,-5.246321268081999e-05,-1.6926697220753795e-05,-3.543169312614225e-05
10,5.877574555633432,0.0009997893129707336,0.0005011745415384183,0.0004585157818155494
15,3.2838801336408916,0.007022941770954194,0.004067472167587294,0.0039885175229659175
20,3.1290072688952364,0.01220579186351367,0.007859158079565276,0.00595438670602455
25,3.082659220089164,0.025577104311518273,0.019530809652341663,0.00904331616676668
30,3.050108308432503,0.04741843359977027,0.04280158935845524,0.013645996251541614
35,3.022010780016375,0.06628904070474251,0.0618840996485015,0.02932918372975113
40,2.9946518446288564,0.08957969945034261,0.09284617506829917,0.045442613823685196
45,3.0034040213530253,0.12717726845292399,0.12415446667877017,0.06136901248253812
50,2.97882504472997,0.14536500041296208,0.1379970088312925,0.0743255130853897
55,2.945801167040768,0.17020110437906366,0.14848094965931846,0.12506470630857391
60,2.968503405071948,0.17858516202401153,0.1865058893655962,0.09735357533497657
65,2.952162483908085,0.19585805682158064,0.23056500430186544,0.10414956320418467
70,2.9512003955492765,0.19730256610255337,0.2193678707959017,0.15536981921285697
75,2.950033140991454,0.2055978765965274,0.2647716041481787,0.15470201854190924
80,2.942943495747981,0.2494483186298142,0.310615410988353,0.13542989379442139
85,2.952722071477852,0.2638328118061013,0.33495803916644595,0.17018675271873684
90,2.9843443046986886,0.28750696589722047,0.33102404811039277,0.20425939740809618
95,2.982061638675274,0.30933595635314726,0.3297553890440228,0.19343967653052152
100,2.9912744047524016,0.3170120725909511,0.31688505902095887,0.22238297191672274
105,2.9751717268122397,0.3306161926638129,0.2896334430512546,0.18843326947942307
110,2.9709727792214897,0.28623706468766663,0.2983304818329491,0.1748534453134103
115,2.957491251420848,0.32844572246323844,0.32053643949511246,0.16586514409747455
120,2.943496098512884,0.32234962034488657,0.3150676983477565,0.1801049412702307
125,2.935800090597751,0.32358673407674665,0.31370733287286656,0.1811007600783956
130,2.945526070162752,0.3362280869016492,0.31617275442207404,0.16560126329078928
135,2.952087870980479,0.34166878298800807,0.30658227744992006,0.15082579554164077
140,2.9671314455113147,0.33208862185908483,0.30740794583886233,0.15994375625314294
145,2.948004642027713,0.3340984947240022,0.3074934701444967,0.15059812270418904
150,2.9484633570124386,0.3480307055963978,0.3051212848147564,0.1763693636632393
